,classes,locations
14,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-03-01-02-01-01.wav
15,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-03-01-02-02-01.wav
16,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-03-02-01-01-01.wav
17,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-03-02-01-02-01.wav
18,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-03-02-02-01-01.wav
19,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-03-02-02-02-01.wav
20,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-04-01-01-01-01.wav
21,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-04-01-01-02-01.wav
22,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-04-01-02-01-01.wav
23,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-04-01-02-02-01.wav
24,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-04-02-01-01-01.wav
25,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-04-02-01-02-01.wav
26,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-04-02-02-01-01.wav
27,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-04-02-02-02-01.wav
28,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-05-01-01-01-01.wav
29,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-05-01-01-02-01.wav
30,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-05-01-02-01-01.wav
31,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-05-01-02-02-01.wav
32,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-05-02-01-01-01.wav
33,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-05-02-01-02-01.wav
34,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-05-02-02-01-01.wav
35,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-05-02-02-02-01.wav
36,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-06-01-01-01-01.wav
37,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-06-01-01-02-01.wav
38,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-06-01-02-01-01.wav
39,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-06-01-02-02-01.wav
40,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-06-02-01-01-01.wav
41,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-06-02-01-02-01.wav
42,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-06-02-02-01-01.wav
43,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-06-02-02-02-01.wav
44,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-07-01-01-01-01.wav
45,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-07-01-01-02-01.wav
46,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-07-01-02-01-01.wav
47,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-07-01-02-02-01.wav
48,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-07-02-01-01-01.wav
49,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-07-02-01-02-01.wav
50,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-07-02-02-01-01.wav
51,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-07-02-02-02-01.wav
52,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-08-01-01-01-01.wav
53,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-08-01-01-02-01.wav
54,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-08-01-02-01-01.wav
55,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-08-01-02-02-01.wav
56,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-08-02-01-01-01.wav
57,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-08-02-01-02-01.wav
58,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-08-02-02-01-01.wav
59,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_01\03-01-08-02-02-02-01.wav
60,neutral,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-01-01-01-01-02.wav
61,neutral,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-01-01-01-02-02.wav
62,neutral,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-01-01-02-01-02.wav
63,neutral,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-01-01-02-02-02.wav
64,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-02-01-01-01-02.wav
65,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-02-01-01-02-02.wav
66,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-02-01-02-01-02.wav
67,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-02-01-02-02-02.wav
68,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-02-02-01-01-02.wav
69,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-02-02-01-02-02.wav
70,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-02-02-02-01-02.wav
71,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-02-02-02-02-02.wav
72,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-03-01-01-01-02.wav
73,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-03-01-01-02-02.wav
74,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-03-01-02-01-02.wav
75,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-03-01-02-02-02.wav
76,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-03-02-01-01-02.wav
77,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-03-02-01-02-02.wav
78,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-03-02-02-01-02.wav
79,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-03-02-02-02-02.wav
80,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-04-01-01-01-02.wav
81,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-04-01-01-02-02.wav
82,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-04-01-02-01-02.wav
83,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-04-01-02-02-02.wav
84,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-04-02-01-01-02.wav
85,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-04-02-01-02-02.wav
86,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-04-02-02-01-02.wav
87,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-04-02-02-02-02.wav
88,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-05-01-01-01-02.wav
89,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-05-01-01-02-02.wav
90,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-05-01-02-01-02.wav
91,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-05-01-02-02-02.wav
92,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-05-02-01-01-02.wav
93,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-05-02-01-02-02.wav
94,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-05-02-02-01-02.wav
95,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-05-02-02-02-02.wav
96,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-06-01-01-01-02.wav
97,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-06-01-01-02-02.wav
98,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-06-01-02-01-02.wav
99,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-06-01-02-02-02.wav
100,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-06-02-01-01-02.wav
101,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-06-02-01-02-02.wav
102,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-06-02-02-01-02.wav
103,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-06-02-02-02-02.wav
104,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-07-01-01-01-02.wav
105,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-07-01-01-02-02.wav
106,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-07-01-02-01-02.wav
107,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-07-01-02-02-02.wav
108,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-07-02-01-01-02.wav
109,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-07-02-01-02-02.wav
110,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-07-02-02-01-02.wav
111,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-07-02-02-02-02.wav
112,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-08-01-01-01-02.wav
113,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-08-01-01-02-02.wav
114,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-08-01-02-01-02.wav
115,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-08-01-02-02-02.wav
116,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-08-02-01-01-02.wav
117,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-08-02-01-02-02.wav
118,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-08-02-02-01-02.wav
119,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_02\03-01-08-02-02-02-02.wav
120,neutral,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-01-01-01-01-03.wav
121,neutral,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-01-01-01-02-03.wav
122,neutral,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-01-01-02-01-03.wav
123,neutral,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-01-01-02-02-03.wav
124,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-02-01-01-01-03.wav
125,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-02-01-01-02-03.wav
126,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-02-01-02-01-03.wav
127,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-02-01-02-02-03.wav
128,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-02-02-01-01-03.wav
129,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-02-02-01-02-03.wav
130,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-02-02-02-01-03.wav
131,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-02-02-02-02-03.wav
132,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-03-01-01-01-03.wav
133,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-03-01-01-02-03.wav
134,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-03-01-02-01-03.wav
135,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-03-01-02-02-03.wav
136,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-03-02-01-01-03.wav
137,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-03-02-01-02-03.wav
138,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-03-02-02-01-03.wav
139,happy,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-03-02-02-02-03.wav
140,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-04-01-01-01-03.wav
141,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-04-01-01-02-03.wav
142,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-04-01-02-01-03.wav
143,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-04-01-02-02-03.wav
144,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-04-02-01-01-03.wav
145,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-04-02-01-02-03.wav
146,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-04-02-02-01-03.wav
147,sad,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-04-02-02-02-03.wav
148,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-05-01-01-01-03.wav
149,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-05-01-01-02-03.wav
150,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-05-01-02-01-03.wav
151,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-05-01-02-02-03.wav
152,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-05-02-01-01-03.wav
153,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-05-02-01-02-03.wav
154,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-05-02-02-01-03.wav
155,angry,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-05-02-02-02-03.wav
156,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-06-01-01-01-03.wav
157,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-06-01-01-02-03.wav
158,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-06-01-02-01-03.wav
159,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-06-01-02-02-03.wav
160,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-06-02-01-01-03.wav
161,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-06-02-01-02-03.wav
162,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-06-02-02-01-03.wav
163,fear,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-06-02-02-02-03.wav
164,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-07-01-01-01-03.wav
165,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-07-01-01-02-03.wav
166,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-07-01-02-01-03.wav
167,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-07-01-02-02-03.wav
168,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-07-02-01-01-03.wav
169,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-07-02-01-02-03.wav
170,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-07-02-02-01-03.wav
171,disgust,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-07-02-02-02-03.wav
172,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-08-01-01-01-03.wav
173,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-08-01-01-02-03.wav
174,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-08-01-02-01-03.wav
175,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-08-01-02-02-03.wav
176,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-08-02-01-01-03.wav
177,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-08-02-01-02-03.wav
178,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-08-02-02-01-03.wav
179,surprise,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_03\03-01-08-02-02-02-03.wav
180,neutral,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_04\03-01-01-01-01-01-04.wav
181,neutral,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_04\03-01-01-01-01-02-04.wav
182,neutral,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_04\03-01-01-01-02-01-04.wav
183,neutral,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_04\03-01-01-01-02-02-04.wav
184,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_04\03-01-02-01-01-01-04.wav
185,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_04\03-01-02-01-01-02-04.wav
186,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_04\03-01-02-01-02-01-04.wav
187,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_04\03-01-02-01-02-02-04.wav
188,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_04\03-01-02-02-01-01-04.wav
189,calm,C:\Users\ml2ai\Desktop\Manish\Manish code files\Metagogy\vber_reavidas\dataset\Actor_04\03-01-02-02-01-02-04.wav
